frame_id,ts_ns,e2e_ms,pre_ms,inf_ms,post_ms,host_overhead_ms,valid,occluded_count,depth_invalid_ratio,constraint_reason,box_conf
148,1776496372082710000,17.766,1.843,8.395,7.126,0.403,1,0,0.0,,0.954
149,1776496372107713000,18.973,0.934,8.764,7.723,1.552,1,0,0.0,,0.956
150,1776496372141059000,17.006,0.945,8.42,6.828,0.814,1,0,0.0,,0.954
151,1776496372157713000,18.644,1.516,8.511,7.871,0.745,1,0,0.0,,0.956
152,1776496372182716000,20.399,4.599,8.771,6.435,0.594,1,0,0.0,,0.954
153,1776496372199381000,21.446,1.137,9.728,9.737,0.844,1,0,0.0,,0.952
153,1776496372199381000,17.664,1.059,10.864,5.002,0.739,1,0,0.0,,0.952
154,1776496372224393000,25.819,1.254,10.807,11.051,2.707,1,0,0.0,,0.951
156,1776496372274392000,19.478,1.079,10.591,7.026,0.782,1,0,0.0,,0.955
156,1776496372274392000,18.07,1.458,10.696,5.516,0.399,1,0,0.0,,0.955
157,1776496372291081000,18.782,1.186,10.741,6.452,0.403,1,0,0.0,,0.952
158,1776496372324408000,17.362,0.984,8.82,6.668,0.89,1,0,0.0,,0.954
159,1776496372341069000,17.36,0.901,8.346,7.59,0.523,1,0,0.0,,0.956
160,1776496372366066000,16.611,1.263,8.559,5.06,1.729,1,0,0.0,,0.953
160,1776496372366066000,19.268,1.223,11.084,6.394,0.568,1,0,0.0,,0.953
161,1776496372391062000,18.528,1.881,10.54,5.526,0.581,1,0,0.0,,0.955
162,1776496372416072000,20.471,1.965,8.443,9.298,0.765,1,0,0.0,,0.954
163,1776496372441062000,18.927,0.949,9.032,8.344,0.602,1,0,0.0,,0.955
164,1776496372466067000,19.09,0.945,8.909,8.531,0.705,1,0,0.0,,0.952
165,1776496372482717000,16.338,0.916,8.446,6.449,0.527,1,0,0.0,,0.953
166,1776496372507716000,19.767,1.417,8.513,8.956,0.881,1,0,0.0,,0.952
167,1776496372524521000,17.289,2.008,8.589,6.016,0.675,1,0,0.0,,0.953
167,1776496372524521000,19.163,1.572,11.025,6.127,0.44,1,0,0.0,,0.953
168,1776496372549382000,18.82,1.457,10.88,5.902,0.58,1,0,0.0,,0.952
169,1776496372574372000,18.921,1.171,10.703,6.658,0.39,1,0,0.0,,0.95
170,1776496372599379000,17.744,1.16,8.519,7.311,0.753,1,0,0.0,,0.953
