frame_id,ts_ns,e2e_ms,pre_ms,inf_ms,post_ms,host_overhead_ms,valid,occluded_count,depth_invalid_ratio,constraint_reason,box_conf
207,1776493171160422000,19.029,1.328,8.737,7.829,1.135,1,0,0.0,,0.957
208,1776493171177099000,19.603,1.277,8.857,7.667,1.802,1,0,0.0,,0.957
209,1776493171202096000,19.011,1.248,9.045,7.418,1.299,1,0,0.0,,0.956
210,1776493171218763000,18.821,1.413,9.084,7.868,0.456,1,0,0.0,,0.957
211,1776493171235439000,18.737,1.237,8.805,7.532,1.162,1,0,0.0,,0.958
212,1776493171260433000,19.0,1.307,9.358,7.569,0.766,1,0,0.0,,0.956
213,1776493171277100000,18.005,1.193,8.674,6.96,1.178,1,0,0.0,,0.956
214,1776493171302096000,19.836,1.446,9.616,7.472,1.302,1,0,0.0,,0.957
215,1776493171318766000,18.028,1.127,8.729,6.704,1.468,1,0,0.0,,0.958
216,1776493171343761000,19.503,1.437,9.227,7.931,0.907,1,0,0.0,,0.957
217,1776493171360424000,16.085,1.15,8.161,6.222,0.552,1,0,0.0,,0.957
218,1776493171377093000,17.828,1.284,9.702,6.324,0.518,1,0,0.0,,0.957
218,1776493171377093000,19.02,2.065,10.63,5.608,0.717,1,0,0.0,,0.957
219,1776493171402099000,18.915,1.448,8.637,8.361,0.47,1,0,0.0,,0.956
220,1776493171427103000,19.162,1.189,8.65,8.4,0.923,1,0,0.0,,0.955
221,1776493171460425000,21.04,1.888,9.117,8.687,1.347,1,0,0.0,,0.958
222,1776493171477105000,18.683,1.142,8.68,7.719,1.143,1,0,0.0,,0.957
223,1776493171502102000,16.509,1.329,8.455,6.055,0.669,1,0,0.0,,0.956
224,1776493171518756000,23.074,1.138,13.619,6.391,1.926,1,0,0.0,,0.957
224,1776493171518756000,19.129,1.362,9.037,7.12,1.609,1,0,0.0,,0.957
225,1776493171543760000,19.36,1.143,8.207,7.498,2.513,1,0,0.0,,0.958
226,1776493171586005000,21.681,1.723,9.208,9.947,0.804,1,0,0.0,,0.958
227,1776493171602090000,17.977,1.271,8.777,6.977,0.951,1,0,0.0,,0.958
228,1776493171627103000,19.23,1.129,8.217,8.219,1.665,1,0,0.0,,0.956
229,1776493171652098000,17.671,1.416,9.149,6.607,0.499,1,0,0.0,,0.956
230,1776493171668749000,20.013,1.199,8.709,8.791,1.314,1,0,0.0,,0.958
231,1776493171693749000,18.227,1.318,8.851,7.305,0.753,1,0,0.0,,0.958
232,1776493171710417000,21.456,1.216,8.728,11.079,0.433,1,0,0.0,,0.957
233,1776493171735686000,17.665,1.187,8.913,6.857,0.708,1,0,0.0,,0.958
234,1776493171752091000,20.748,1.12,8.243,9.164,2.22,1,0,0.0,,0.959
235,1776493171777102000,16.27,1.21,8.192,6.269,0.598,1,0,0.0,,0.955
236,1776493171793762000,20.728,1.701,8.546,9.438,1.042,1,0,0.0,,0.957
236,1776493171793762000,18.297,1.246,10.759,5.594,0.698,1,0,0.0,,0.957
237,1776493171818758000,23.86,2.474,10.758,9.377,1.251,1,0,0.0,,0.958
238,1776493171843752000,20.647,1.915,10.374,7.439,0.918,1,0,0.0,,0.957
239,1776493171868741000,21.409,1.357,11.061,7.415,1.576,1,0,0.0,,0.958
240,1776493171885414000,18.056,1.395,10.617,5.603,0.442,1,0,0.0,,0.956
241,1776493171910411000,19.347,1.384,10.765,6.754,0.444,1,0,0.0,,0.955
242,1776493171935432000,19.122,1.571,8.532,8.48,0.539,1,0,0.0,,0.957
243,1776493171952084000,20.758,1.181,8.398,10.384,0.795,1,0,0.0,,0.955
244,1776493171985425000,17.39,1.153,8.911,6.42,0.906,1,0,0.0,,0.958
245,1776493172010428000,21.693,2.887,9.056,8.465,1.285,1,0,0.0,,0.957
246,1776493172027083000,20.319,1.152,8.784,9.208,1.175,1,0,0.0,,0.957
247,1776493172052091000,17.521,1.322,8.864,6.671,0.664,1,0,0.0,,0.957
248,1776493172068751000,18.92,1.674,8.223,8.524,0.498,1,0,0.0,,0.957
249,1776493172093767000,18.835,3.136,8.355,6.779,0.565,1,0,0.0,,0.956
250,1776493172110426000,26.707,1.899,11.877,12.267,0.663,1,0,0.0,,0.956
251,1776493172135424000,17.983,1.601,10.381,5.591,0.409,1,0,0.0,,0.956
251,1776493172135424000,22.138,1.866,11.023,7.69,1.56,1,0,0.0,,0.956
252,1776493172160415000,21.528,1.86,10.88,7.507,1.281,1,0,0.0,,0.955
