time_s,gait_phase,knee_L_meas,knee_R_meas,hip_L_meas,hip_R_meas,knee_L_ref,knee_R_ref,hip_L_ref,hip_R_ref,F_imp_L,F_imp_R,F_ilc_L,F_ilc_R,F_total_L,F_total_R,teensy_phase,teensy_fL,teensy_fR,hs_L,hs_R,shm_valid
8123.6823,0.0000,174.69,176.38,97.39,83.09,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.6923,0.0000,174.69,176.38,97.39,83.09,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.7023,0.0000,174.81,176.39,97.22,83.15,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.7123,0.0000,174.81,176.39,97.22,83.15,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.7223,0.0000,174.81,176.39,97.22,83.15,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.7323,0.0000,174.81,176.39,97.22,83.15,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.7423,0.0000,174.99,176.09,96.38,83.31,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.7523,0.0000,175.06,176.26,96.52,83.44,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.7623,0.0000,175.06,176.26,96.52,83.44,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.7723,0.0000,175.06,176.26,96.52,83.44,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.7823,0.0000,175.06,176.26,96.52,83.44,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.7923,0.0000,175.06,176.26,96.52,83.44,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.8023,0.0000,175.06,176.26,96.52,83.44,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.8123,0.0000,175.23,176.49,97.21,82.78,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.8223,0.0000,175.23,176.49,97.21,82.78,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.8323,0.0000,175.23,176.49,97.21,82.78,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.8423,0.0000,175.23,176.49,97.21,82.78,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.8523,0.0000,175.23,176.49,97.21,82.78,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.8623,0.0000,175.20,176.48,97.46,82.54,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.8723,0.0000,175.20,176.48,97.46,82.54,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.8823,0.0000,175.76,176.50,97.54,82.53,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.8935,0.0000,175.76,176.50,97.54,82.53,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.9023,0.0000,175.87,176.93,97.52,82.90,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.9123,0.0000,175.87,176.93,97.52,82.90,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.9223,0.0000,175.87,176.93,97.52,82.90,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.9323,0.0000,175.87,176.93,97.52,82.90,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.9423,0.0000,175.87,176.93,97.52,82.90,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.9523,0.0000,175.87,176.93,97.52,82.90,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.9623,0.0000,175.87,176.93,97.52,82.90,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.9723,0.0000,175.23,176.58,97.35,82.74,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.9823,0.0000,175.16,176.28,97.41,83.03,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.9923,0.0000,175.16,176.28,97.41,83.03,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.0023,0.0000,174.87,176.68,96.92,83.21,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.0136,0.0000,174.87,176.68,96.92,83.21,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.0223,0.0000,174.65,176.75,97.21,83.40,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.0323,0.0000,174.65,176.75,97.21,83.40,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.0441,0.0000,174.76,176.96,97.27,82.95,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.0523,0.0000,174.76,176.96,97.27,82.95,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.0623,0.0000,174.34,176.69,97.85,82.46,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.0723,0.0000,175.94,176.45,97.70,82.57,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.0823,0.0000,175.94,176.45,97.70,82.57,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.0923,0.0000,176.29,176.98,97.34,82.32,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.1024,0.0000,176.29,176.98,97.34,82.32,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.1123,0.0000,176.29,176.98,97.34,82.32,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.1223,0.0000,176.29,176.98,97.34,82.32,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.1324,0.0000,176.29,176.98,97.34,82.32,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.1423,0.0000,175.44,176.69,97.77,82.68,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.1523,0.0000,175.44,176.69,97.77,82.68,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.1623,0.0000,174.71,176.33,97.58,82.33,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.1723,0.0000,174.71,176.33,97.58,82.33,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.1823,0.0000,174.71,176.33,97.58,82.33,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.1923,0.0000,176.00,176.63,97.67,82.32,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.2023,0.0000,176.06,177.01,97.80,82.64,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
